check_id,product_id,check_name,impacted_metric,source_system,quality_dimension,failed_row_rate,severity,owner,status
DQ0001,PRD001,Agency appointment mapping,channel,agency_feed,Accuracy,2.4,Low,Commercial Lines Ops,In Review
DQ0002,PRD001,Premium transaction duplicate scan,earned_premium,billing,Accuracy,3.7,Low,Commercial Lines Ops,In Review
DQ0003,PRD001,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,2.1,Low,Commercial Lines Ops,Monitoring
DQ0004,PRD002,Policy count reconciliation,exposure_count,policy_admin,Completeness,4.4,Low,Product Analytics,Remediation Planned
DQ0005,PRD002,Premium transaction duplicate scan,earned_premium,billing,Accuracy,7.1,Medium,Product Analytics,Open
DQ0006,PRD002,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,9.6,Medium,Product Analytics,Open
DQ0007,PRD003,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,7.5,Medium,Product Analytics,Open
DQ0008,PRD003,Claims lag validation,loss_ratio,claims,Timeliness,6.3,Medium,Product Analytics,In Review
DQ0009,PRD003,Agency appointment mapping,channel,agency_feed,Accuracy,2.4,Low,Product Analytics,Remediation Planned
DQ0010,PRD004,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,4.7,Low,Product Analytics,Open
DQ0011,PRD004,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,4.4,Low,Product Analytics,Open
DQ0012,PRD004,Premium transaction duplicate scan,earned_premium,billing,Accuracy,5.7,Low,Product Analytics,Open
DQ0013,PRD005,Agency appointment mapping,channel,agency_feed,Accuracy,7.0,Medium,Claims Data,In Review
DQ0014,PRD005,Policy count reconciliation,exposure_count,policy_admin,Completeness,6.3,Medium,Claims Data,Open
DQ0015,PRD005,Premium transaction duplicate scan,earned_premium,billing,Accuracy,3.4,Low,Claims Data,Open
DQ0016,PRD006,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,5.0,Low,BI Governance,Remediation Planned
DQ0017,PRD006,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,5.4,Low,BI Governance,Open
DQ0018,PRD006,Policy count reconciliation,exposure_count,policy_admin,Completeness,6.5,Medium,BI Governance,Monitoring
DQ0019,PRD007,Premium transaction duplicate scan,earned_premium,billing,Accuracy,6.5,Medium,BI Governance,Open
DQ0020,PRD007,Claims lag validation,loss_ratio,claims,Timeliness,6.6,Medium,BI Governance,Monitoring
DQ0021,PRD007,Policy count reconciliation,exposure_count,policy_admin,Completeness,7.4,Medium,BI Governance,Open
DQ0022,PRD008,Policy count reconciliation,exposure_count,policy_admin,Completeness,10.1,Medium,Product Analytics,Open
DQ0023,PRD008,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,10.0,Medium,Product Analytics,Remediation Planned
DQ0024,PRD008,Premium transaction duplicate scan,earned_premium,billing,Accuracy,11.5,Medium,Product Analytics,Open
DQ0025,PRD009,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,8.5,Medium,BI Governance,Open
DQ0026,PRD009,Claims lag validation,loss_ratio,claims,Timeliness,11.8,Medium,BI Governance,Remediation Planned
DQ0027,PRD009,Policy count reconciliation,exposure_count,policy_admin,Completeness,5.9,Low,BI Governance,Monitoring
DQ0028,PRD010,Claims lag validation,loss_ratio,claims,Timeliness,8.0,Medium,Product Analytics,Monitoring
DQ0029,PRD010,Policy count reconciliation,exposure_count,policy_admin,Completeness,7.8,Medium,Product Analytics,Open
DQ0030,PRD010,Agency appointment mapping,channel,agency_feed,Accuracy,6.2,Medium,Product Analytics,Open
DQ0031,PRD011,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,13.7,High,Claims Data,Monitoring
DQ0032,PRD011,Premium transaction duplicate scan,earned_premium,billing,Accuracy,8.9,Medium,Claims Data,Remediation Planned
DQ0033,PRD011,Policy count reconciliation,exposure_count,policy_admin,Completeness,9.9,Medium,Claims Data,Monitoring
DQ0034,PRD012,Premium transaction duplicate scan,earned_premium,billing,Accuracy,8.5,Medium,Claims Data,Monitoring
DQ0035,PRD012,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,7.5,Medium,Claims Data,Open
DQ0036,PRD012,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,5.3,Low,Claims Data,Open
DQ0037,PRD013,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,2.8,Low,Claims Data,Open
DQ0038,PRD013,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,8.2,Medium,Claims Data,Remediation Planned
DQ0039,PRD013,Agency appointment mapping,channel,agency_feed,Accuracy,5.0,Low,Claims Data,Remediation Planned
DQ0040,PRD013,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,7.7,Medium,Claims Data,In Review
DQ0041,PRD014,Premium transaction duplicate scan,earned_premium,billing,Accuracy,8.7,Medium,Claims Data,Open
DQ0042,PRD014,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,5.6,Low,Claims Data,Remediation Planned
DQ0043,PRD014,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,6.1,Medium,Claims Data,In Review
DQ0044,PRD014,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,8.5,Medium,Claims Data,Remediation Planned
DQ0045,PRD015,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,2.7,Low,Claims Data,Open
DQ0046,PRD015,Policy count reconciliation,exposure_count,policy_admin,Completeness,7.3,Medium,Claims Data,Open
DQ0047,PRD015,Claims lag validation,loss_ratio,claims,Timeliness,6.9,Medium,Claims Data,Open
DQ0048,PRD015,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,8.1,Medium,Claims Data,Open
DQ0049,PRD016,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,11.7,Medium,Claims Data,In Review
DQ0050,PRD016,Premium transaction duplicate scan,earned_premium,billing,Accuracy,9.8,Medium,Claims Data,Remediation Planned
DQ0051,PRD016,Agency appointment mapping,channel,agency_feed,Accuracy,8.8,Medium,Claims Data,Remediation Planned
DQ0052,PRD016,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,8.3,Medium,Claims Data,Open
DQ0053,PRD017,Claims lag validation,loss_ratio,claims,Timeliness,5.9,Low,Commercial Lines Ops,Remediation Planned
DQ0054,PRD017,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,9.1,Medium,Commercial Lines Ops,Open
DQ0055,PRD017,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,6.5,Medium,Commercial Lines Ops,Remediation Planned
DQ0056,PRD017,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,7.6,Medium,Commercial Lines Ops,Open
DQ0057,PRD018,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,11.4,Medium,Commercial Lines Ops,Remediation Planned
DQ0058,PRD018,Agency appointment mapping,channel,agency_feed,Accuracy,8.7,Medium,Commercial Lines Ops,Monitoring
DQ0059,PRD018,Claims lag validation,loss_ratio,claims,Timeliness,7.6,Medium,Commercial Lines Ops,Monitoring
DQ0060,PRD018,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,8.6,Medium,Commercial Lines Ops,Monitoring
DQ0061,PRD019,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,11.3,Medium,Claims Data,Open
DQ0062,PRD019,Claims lag validation,loss_ratio,claims,Timeliness,6.3,Medium,Claims Data,Open
DQ0063,PRD019,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,7.4,Medium,Claims Data,Open
DQ0064,PRD019,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,8.3,Medium,Claims Data,Monitoring
DQ0065,PRD020,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,13.2,High,Commercial Lines Ops,Monitoring
DQ0066,PRD020,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,8.4,Medium,Commercial Lines Ops,Remediation Planned
DQ0067,PRD020,Agency appointment mapping,channel,agency_feed,Accuracy,11.7,Medium,Commercial Lines Ops,Monitoring
DQ0068,PRD020,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,13.0,High,Commercial Lines Ops,Open
DQ0069,PRD021,Agency appointment mapping,channel,agency_feed,Accuracy,11.7,Medium,Commercial Lines Ops,Monitoring
DQ0070,PRD021,Premium transaction duplicate scan,earned_premium,billing,Accuracy,7.2,Medium,Commercial Lines Ops,Monitoring
DQ0071,PRD021,Metric definition owner assigned,combined_ratio,semantic_layer,Governance,6.6,Medium,Commercial Lines Ops,Remediation Planned
DQ0072,PRD021,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,10.0,Medium,Commercial Lines Ops,In Review
DQ0073,PRD022,Premium transaction duplicate scan,earned_premium,billing,Accuracy,8.8,Medium,Claims Data,Monitoring
DQ0074,PRD022,Claims lag validation,loss_ratio,claims,Timeliness,11.3,Medium,Claims Data,Open
DQ0075,PRD022,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,7.5,Medium,Claims Data,Open
DQ0076,PRD022,Catastrophe territory enrichment,loss_ratio,catastrophe_vendor,Completeness,8.1,Medium,Claims Data,Open
