month,product_id,earned_premium,loss_ratio,combined_ratio,retention_rate,claims_satisfaction,kpi_quality_score
2025-01-01,PRD001,1896467,62.0,84.0,85.0,91.4,94.4
2025-02-01,PRD001,1851389,64.3,86.3,82.8,92.6,92.2
2025-03-01,PRD001,2051224,67.0,89.0,85.3,93.4,92.3
2025-04-01,PRD001,2059928,63.2,85.2,84.7,88.9,92.3
2025-05-01,PRD001,2046848,69.2,91.2,83.8,92.6,96.6
2025-06-01,PRD001,1926035,66.4,88.4,84.6,92.6,92.5
2025-07-01,PRD001,1923085,67.1,89.1,83.7,91.5,92.8
2025-08-01,PRD001,1881326,57.4,79.4,83.3,90.5,90.3
2025-09-01,PRD001,1851566,59.8,81.8,83.6,90.6,97.2
2025-10-01,PRD001,1886321,65.8,87.8,84.9,92.7,93.6
2025-11-01,PRD001,2059494,65.1,87.1,83.8,90.7,93.5
2025-12-01,PRD001,1940433,65.5,87.5,84.8,91.7,92.5
2025-01-01,PRD002,1668090,74.3,96.3,80.4,86.5,85.1
2025-02-01,PRD002,1693800,75.6,97.6,80.1,90.0,90.3
2025-03-01,PRD002,1784700,72.7,94.7,80.6,88.3,88.6
2025-04-01,PRD002,1710064,75.4,97.4,80.9,87.0,85.9
2025-05-01,PRD002,1801203,76.2,98.2,82.9,89.2,85.1
2025-06-01,PRD002,1752598,69.6,91.6,79.5,88.1,88.4
2025-07-01,PRD002,1758005,73.7,95.7,82.4,89.9,86.5
2025-08-01,PRD002,1723943,70.4,92.4,81.8,87.5,88.0
2025-09-01,PRD002,1801043,75.6,97.6,81.4,89.9,88.3
2025-10-01,PRD002,1841196,68.9,90.9,82.4,87.7,88.5
2025-11-01,PRD002,1737386,74.6,96.6,81.2,90.0,90.1
2025-12-01,PRD002,1721431,72.7,94.7,81.7,87.1,83.9
2025-01-01,PRD003,3176417,66.7,88.7,89.9,91.8,87.7
2025-02-01,PRD003,3332696,71.7,93.7,87.5,91.0,89.3
2025-03-01,PRD003,3096906,63.6,85.6,90.2,92.6,85.9
2025-04-01,PRD003,3479349,67.5,89.5,89.3,92.9,89.9
2025-05-01,PRD003,3490629,70.2,92.2,90.1,94.7,90.2
2025-06-01,PRD003,3480786,66.8,88.8,89.0,93.6,85.9
2025-07-01,PRD003,3222787,64.6,86.6,87.3,92.5,88.7
2025-08-01,PRD003,3260223,69.6,91.6,89.2,91.0,92.5
2025-09-01,PRD003,3199744,70.6,92.6,89.7,92.5,91.2
2025-10-01,PRD003,3385736,69.1,91.1,88.3,93.1,90.9
2025-11-01,PRD003,3264038,68.6,90.6,88.6,93.8,87.1
2025-12-01,PRD003,3473733,69.1,91.1,86.9,92.1,88.4
2025-01-01,PRD004,785282,62.9,84.9,79.4,90.1,89.8
2025-02-01,PRD004,737686,65.7,87.7,79.2,88.1,85.6
2025-03-01,PRD004,803753,68.8,90.8,78.0,91.2,89.0
2025-04-01,PRD004,825750,67.8,89.8,79.9,92.6,90.1
2025-05-01,PRD004,778914,67.9,89.9,79.8,88.7,92.1
2025-06-01,PRD004,775200,70.7,92.7,78.1,90.7,87.9
2025-07-01,PRD004,771093,60.0,82.0,78.6,88.0,93.2
2025-08-01,PRD004,811945,66.4,88.4,78.2,89.5,89.2
2025-09-01,PRD004,817006,63.5,85.5,78.8,90.3,92.9
2025-10-01,PRD004,868269,63.7,85.7,78.6,87.2,89.4
2025-11-01,PRD004,836982,60.0,82.0,80.7,90.7,91.6
2025-12-01,PRD004,844460,65.1,87.1,79.4,88.7,91.3
2025-01-01,PRD005,2170230,67.6,89.6,83.7,87.6,87.3
2025-02-01,PRD005,2144848,70.9,92.9,82.5,85.1,81.7
2025-03-01,PRD005,2245123,71.5,93.5,82.0,85.9,84.7
2025-04-01,PRD005,2310176,73.1,95.1,84.7,83.7,80.7
2025-05-01,PRD005,2184336,70.2,92.2,83.6,84.1,82.9
2025-06-01,PRD005,2217893,69.5,91.5,81.6,87.9,82.2
2025-07-01,PRD005,2214142,69.2,91.2,84.2,86.6,88.4
2025-08-01,PRD005,2157889,64.1,86.1,82.9,86.7,82.5
2025-09-01,PRD005,2227216,64.9,86.9,82.9,88.4,85.8
2025-10-01,PRD005,2245849,68.9,90.9,84.2,87.6,80.9
2025-11-01,PRD005,2262902,72.8,94.8,82.7,82.8,85.1
2025-12-01,PRD005,2361793,73.1,95.1,82.9,84.2,85.3
2025-01-01,PRD006,1216545,83.9,105.9,88.8,83.6,84.0
2025-02-01,PRD006,1169623,86.7,108.7,88.7,83.0,80.2
2025-03-01,PRD006,1116471,79.6,101.6,90.3,86.1,83.1
2025-04-01,PRD006,1198451,81.5,103.5,87.8,85.4,79.2
2025-05-01,PRD006,1190666,83.7,105.7,89.1,84.7,80.7
2025-06-01,PRD006,1251729,83.9,105.9,89.4,85.1,83.1
2025-07-01,PRD006,1139161,83.2,105.2,88.4,84.8,86.2
2025-08-01,PRD006,1166619,83.5,105.5,87.3,88.9,86.8
2025-09-01,PRD006,1181316,80.9,102.9,90.0,86.4,83.7
2025-10-01,PRD006,1272992,77.6,99.6,87.2,86.6,86.2
2025-11-01,PRD006,1257271,84.3,106.3,88.1,83.3,81.4
2025-12-01,PRD006,1169861,83.7,105.7,90.1,80.8,80.0
2025-01-01,PRD007,1482693,72.9,94.9,86.1,92.0,81.9
2025-02-01,PRD007,1512060,68.6,90.6,86.8,96.2,86.8
2025-03-01,PRD007,1530824,76.4,98.4,87.3,89.9,82.2
2025-04-01,PRD007,1591926,71.2,93.2,87.2,91.9,82.7
2025-05-01,PRD007,1547130,74.4,96.4,86.7,90.8,86.5
2025-06-01,PRD007,1571929,74.1,96.1,86.4,91.0,81.9
2025-07-01,PRD007,1579292,72.8,94.8,87.6,91.7,89.0
2025-08-01,PRD007,1545591,74.4,96.4,87.1,88.5,84.3
2025-09-01,PRD007,1589652,68.6,90.6,87.1,93.1,82.9
2025-10-01,PRD007,1645859,70.5,92.5,87.1,89.5,86.1
2025-11-01,PRD007,1656544,72.5,94.5,86.4,95.1,88.4
2025-12-01,PRD007,1684384,70.0,92.0,84.3,89.8,86.2
2025-01-01,PRD008,2288989,71.7,93.7,80.2,95.0,73.2
2025-02-01,PRD008,2524097,74.0,96.0,80.2,92.5,75.4
2025-03-01,PRD008,2547350,71.5,93.5,80.0,92.4,74.1
2025-04-01,PRD008,2406047,72.3,94.3,80.2,93.0,75.5
2025-05-01,PRD008,2529156,75.9,97.9,79.0,94.6,73.9
2025-06-01,PRD008,2678146,72.7,94.7,80.2,91.9,76.1
2025-07-01,PRD008,2550622,69.5,91.5,81.0,93.1,74.7
2025-08-01,PRD008,2468633,71.3,93.3,79.8,91.3,77.1
2025-09-01,PRD008,2565859,67.8,89.8,77.5,94.4,72.6
2025-10-01,PRD008,2782486,70.1,92.1,80.0,93.2,77.2
2025-11-01,PRD008,2536892,72.9,94.9,78.1,92.3,76.9
2025-12-01,PRD008,2765066,71.3,93.3,78.0,91.8,76.1
2025-01-01,PRD009,1932662,63.4,85.4,92.1,89.3,76.6
2025-02-01,PRD009,1873118,64.0,86.0,91.0,93.8,80.9
2025-03-01,PRD009,1881824,63.8,85.8,90.4,95.0,78.0
2025-04-01,PRD009,1998309,67.4,89.4,89.4,91.0,80.0
2025-05-01,PRD009,2007166,65.0,87.0,89.5,92.3,74.9
2025-06-01,PRD009,2124110,63.5,85.5,91.1,90.8,79.6
2025-07-01,PRD009,2099668,63.6,85.6,89.7,93.7,79.0
2025-08-01,PRD009,2038055,66.6,88.6,90.4,91.9,72.7
2025-09-01,PRD009,2073670,66.5,88.5,92.2,91.1,78.9
2025-10-01,PRD009,2138033,61.8,83.8,88.7,93.8,76.7
2025-11-01,PRD009,2177617,67.9,89.9,90.8,94.0,72.7
2025-12-01,PRD009,2108843,64.3,86.3,91.0,94.4,79.1
2025-01-01,PRD010,714984,57.6,79.6,82.4,87.8,85.6
2025-02-01,PRD010,710062,52.2,74.2,83.2,89.9,85.3
2025-03-01,PRD010,706223,62.1,84.1,84.3,90.8,83.7
2025-04-01,PRD010,738502,57.6,79.6,81.6,90.2,79.3
2025-05-01,PRD010,749411,53.7,75.7,79.6,89.6,82.1
2025-06-01,PRD010,718556,56.5,78.5,81.5,88.9,75.8
2025-07-01,PRD010,673830,52.7,74.7,83.5,88.4,81.6
2025-08-01,PRD010,726149,56.5,78.5,81.3,90.1,84.4
2025-09-01,PRD010,742963,50.6,72.6,83.0,86.7,80.0
2025-10-01,PRD010,765853,53.3,75.3,81.0,90.0,80.9
2025-11-01,PRD010,678261,54.9,76.9,81.8,88.0,85.0
2025-12-01,PRD010,754692,57.0,79.0,82.7,89.9,80.4
2025-01-01,PRD011,984360,64.7,86.7,80.8,92.8,74.9
2025-02-01,PRD011,956021,64.7,86.7,77.8,90.6,73.0
2025-03-01,PRD011,1021218,67.8,89.8,80.9,92.7,76.0
2025-04-01,PRD011,944397,67.4,89.4,80.4,92.3,78.6
2025-05-01,PRD011,992553,66.1,88.1,79.7,90.6,74.9
2025-06-01,PRD011,987897,62.7,84.7,80.0,95.3,72.7
2025-07-01,PRD011,1016747,62.6,84.6,80.5,88.5,76.1
2025-08-01,PRD011,950547,64.0,86.0,81.7,90.9,76.6
2025-09-01,PRD011,1047885,60.9,82.9,82.4,92.8,78.7
2025-10-01,PRD011,958676,61.3,83.3,80.0,92.8,76.1
2025-11-01,PRD011,961091,62.3,84.3,81.4,90.3,71.4
2025-12-01,PRD011,960696,68.1,90.1,81.5,93.1,80.2
2025-01-01,PRD012,1754925,74.5,96.5,85.7,88.8,82.8
2025-02-01,PRD012,1846996,70.3,92.3,84.6,86.6,83.3
